,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Kepler,g,r,i,z,DDO51_finf,Mact
51,1,8.21,0.19,1.63908,0.839,3.866,4.225,11.9,0.036,0.0,14.572,14.233,13.979,13.884,13.862,14.555,14.623,14.519,14.575,14.671,14.542,1.639
52,1,8.21,0.23,0.33482,-1.828,3.558,4.969,11.4,0.035,0.0,20.74,20.333,18.954,18.389,18.178,21.492,23.082,21.715,20.815,20.286,22.92,0.335
53,1,8.23,-0.09,0.13586,-2.425,3.501,4.945,10.2,0.029,0.0,21.033,20.779,19.129,18.603,18.353,22.156,24.209,22.657,21.368,20.618,23.983,0.136
54,1,8.23,0.13,0.66893,-0.979,3.634,4.726,11.4,0.035,0.0,18.618,18.087,17.056,16.392,16.285,18.935,20.028,18.89,18.484,18.246,20.033,0.669
55,1,8.25,0.11,0.05573,-3.27,3.385,4.941,7.6,0.013,0.0,20.544,20.87,18.384,17.834,17.52,22.889,26.43,24.538,22.087,20.526,25.918,0.056
56,1,8.25,0.11,0.43719,-1.551,3.58,4.894,12.8,0.037,0.0,21.447,20.994,19.69,19.101,18.935,22.089,23.546,22.249,21.458,20.988,23.462,0.437
57,1,8.27,-0.21,0.15836,-2.32,3.519,4.981,9.9,0.027,0.0,20.469,20.147,18.618,18.076,17.836,21.424,23.31,21.781,20.68,20.039,23.111,0.158
58,1,8.27,0.05,0.26605,-2.008,3.552,5.024,10.6,0.031,0.0,20.391,19.991,18.601,18.045,17.82,21.16,22.791,21.391,20.476,19.938,22.608,0.266
59,1,8.29,-0.07,0.18799,-2.256,3.535,5.054,10.0,0.028,0.0,20.41,20.048,18.585,18.041,17.809,21.275,23.033,21.576,20.559,19.964,22.84,0.188
60,1,8.29,0.27,0.23347,-2.136,3.537,5.038,8.6,0.019,0.0,18.71,18.34,16.882,16.34,16.109,19.565,21.298,19.869,18.851,18.256,21.103,0.233
61,1,8.31,-0.07,0.5604,-1.219,3.614,4.808,12.2,0.037,0.0,20.018,19.501,18.405,17.744,17.62,20.412,21.62,20.396,19.913,19.622,21.62,0.56
62,1,8.31,0.03,0.32279,-1.845,3.563,4.99,10.8,0.032,0.0,20.182,19.752,18.408,17.844,17.642,20.883,22.436,21.073,20.225,19.723,22.301,0.323
