,logg,Teff,Z,aLSM,bLSM
314,4.0,5500,-3.5,0.15104699500650592,0.28880339419676954
315,4.5,5500,-3.5,0.13893781504834782,0.29021726128388925
316,5.0,5500,-3.5,0.12602660561379034,0.28761352446217875
317,3.5,5750,-3.5,0.16551508455573577,0.27947224284168415
318,4.0,5750,-3.5,0.15675933854575874,0.28414867242016983
319,4.5,5750,-3.5,0.14636662125016767,0.28665669953401096
320,5.0,5750,-3.5,0.13436631578323951,0.28649078644583664
321,3.5,6000,-3.5,0.16964798221889102,0.27113982845451906
322,4.0,6000,-3.5,0.16255166809132068,0.27665543986489505
323,4.5,6000,-3.5,0.15408560047776565,0.2804783081377759
324,5.0,6000,-3.5,0.14285364262206066,0.28411072693440836
325,3.5,6250,-3.5,0.16700926858797058,0.2693974441626125
326,4.0,6250,-3.5,0.16260133345889183,0.273273297103289
327,4.5,6250,-3.5,0.15871549021630968,0.27493639784204277
328,5.0,6250,-3.5,0.14815139629659965,0.2794855022496898
329,3.5,6500,-3.5,0.16217411003426166,0.26734053229147053
330,4.0,6500,-3.5,0.16017235420455975,0.2696732081009761
331,4.5,6500,-3.5,0.15741197304367416,0.2712805341737828
332,5.0,6500,-3.5,0.15157971804393458,0.27359782438958247
333,3.5,6750,-3.5,0.15539040229881537,0.2685016942528646
334,4.0,6750,-3.5,0.1552742845320284,0.26940277445722294
335,4.5,6750,-3.5,0.15487164345989418,0.2695359853607585
336,5.0,6750,-3.5,0.15250328312741687,0.26998422960496604
337,3.5,7000,-3.5,0.14263639250835433,0.2717115591577348
338,4.0,7000,-3.5,0.14530171050193424,0.2704176587682229
339,4.5,7000,-3.5,0.14754493220657378,0.26892901741919256
340,5.0,7000,-3.5,0.14798849852247178,0.2679075820245764
341,3.5,7250,-3.5,0.13475247429431414,0.2735770674422586
342,4.0,7250,-3.5,0.13712071045983232,0.2717730141423927
343,4.5,7250,-3.5,0.14074560806676586,0.26951817733698324
344,5.0,7250,-3.5,0.1432699495092081,0.2675029450123151
345,3.5,7500,-3.5,0.13520568050866008,0.2576758205490564
346,4.0,7500,-3.5,0.12530071219634928,0.27262901199171513
347,4.5,7500,-3.5,0.12862193724136894,0.27086341118966556
348,5.0,7500,-3.5,0.13289974033611313,0.26834372919564525
349,3.5,7750,-3.5,0.15873242379081343,0.23469571447743193
